_ws.col.No.,_ws.col.Time,timestamp,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.ack,tcp.seq,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.options.mptcp.rawdataseqno,tcp.window_size,tcp.len,tcp.hdr_len,tcp.analysis.lost_segment,tcp.analysis.ack_rtt,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.spurious_retransmission,tcp.analysis.bytes_in_flight
1,2017-12-22 15:21:45.805584238,1513927305.8055842,192.168.82.72,222.29.98.225,MPTCP,59027,40002,0,3156777492,1,0,0,0,,29200,0,52,,,,,,
2,2017-12-22 15:21:46.009241170,1513927306.009241,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341331421,1,1,0,0,,28960,0,40,,0.203656932,,,,
3,2017-12-22 15:21:46.009329844,1513927306.0093298,192.168.82.72,222.29.98.225,TCP,59027,40002,341331422,3156777493,0,1,0,0,,29696,0,32,,0.000088674,,,,
4,2017-12-22 15:21:46.200272626,1513927306.2002726,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341331422,0,1,0,0,,29056,1358,32,,,,,,1358
5,2017-12-22 15:21:46.200333395,1513927306.2003334,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341332780,0,1,0,0,,29056,1358,32,,,,,,2716
6,2017-12-22 15:21:46.200416117,1513927306.200416,192.168.82.72,222.29.98.225,TCP,59027,40002,341332780,3156777493,0,1,0,0,,32768,0,32,,0.000143491,,,,
7,2017-12-22 15:21:46.200467953,1513927306.200468,192.168.82.72,222.29.98.225,TCP,59027,40002,341334138,3156777493,0,1,0,0,,35840,0,32,,0.000134558,,,,
8,2017-12-22 15:21:46.201214742,1513927306.2012148,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341334138,0,1,0,0,,29056,1358,32,,,,,,1358
9,2017-12-22 15:21:46.201215665,1513927306.2012157,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341335496,0,1,0,0,,29056,1358,32,,,,,,2716
10,2017-12-22 15:21:46.201283252,1513927306.2012832,192.168.82.72,222.29.98.225,TCP,59027,40002,341335496,3156777493,0,1,0,0,,37888,0,32,,0.000068510,,,,
11,2017-12-22 15:21:46.201298645,1513927306.2012987,192.168.82.72,222.29.98.225,TCP,59027,40002,341336854,3156777493,0,1,0,0,,40960,0,32,,0.000082980,,,,
12,2017-12-22 15:21:46.202196940,1513927306.2021968,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341336854,0,1,0,0,,29056,1358,32,,,,,,1358
13,2017-12-22 15:21:46.202255523,1513927306.2022555,192.168.82.72,222.29.98.225,TCP,59027,40002,341338212,3156777493,0,1,0,0,,44032,0,32,,0.000058583,,,,
14,2017-12-22 15:21:46.203424773,1513927306.2034247,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341338212,0,1,0,0,,29056,1358,32,,,,,,1358
15,2017-12-22 15:21:46.203425668,1513927306.2034256,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341339570,0,1,0,0,,29056,1358,32,,,,,,2716
16,2017-12-22 15:21:46.203491727,1513927306.2034917,192.168.82.72,222.29.98.225,TCP,59027,40002,341339570,3156777493,0,1,0,0,,47104,0,32,,0.000066954,,,,
17,2017-12-22 15:21:46.203505926,1513927306.203506,192.168.82.72,222.29.98.225,TCP,59027,40002,341340928,3156777493,0,1,0,0,,50176,0,32,,0.000080258,,,,
18,2017-12-22 15:21:46.204341342,1513927306.2043414,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341340928,0,1,0,0,,29056,1358,32,,,,,,1358
19,2017-12-22 15:21:46.204405643,1513927306.2044055,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341342286,0,1,0,0,,29056,1358,32,,,,,,2716
20,2017-12-22 15:21:46.204415834,1513927306.2044158,192.168.82.72,222.29.98.225,TCP,59027,40002,341342286,3156777493,0,1,0,0,,53248,0,32,,0.000074492,,,,
21,2017-12-22 15:21:46.204422173,1513927306.2044222,192.168.82.72,222.29.98.225,TCP,59027,40002,341343644,3156777493,0,1,0,0,,55296,0,32,,0.000016530,,,,
22,2017-12-22 15:21:46.206155857,1513927306.2061558,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341343644,0,1,0,0,,29056,1358,32,,,,,,1358
23,2017-12-22 15:21:46.206170684,1513927306.2061708,192.168.82.72,222.29.98.225,TCP,59027,40002,341345002,3156777493,0,1,0,0,,58368,0,32,,0.000014827,,,,
24,2017-12-22 15:21:46.390570925,1513927306.3905709,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341345002,0,1,0,0,,29056,1358,32,,,,,,1358
25,2017-12-22 15:21:46.390571216,1513927306.390571,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341346360,0,1,0,0,,29056,1358,32,,,,,,2716
26,2017-12-22 15:21:46.390571381,1513927306.3905714,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341347718,0,1,0,0,,29056,1358,32,,,,,,4074
27,2017-12-22 15:21:46.390588610,1513927306.3905885,192.168.82.72,222.29.98.225,TCP,59027,40002,341346360,3156777493,0,1,0,0,,61440,0,32,,0.000017685,,,,
28,2017-12-22 15:21:46.390595316,1513927306.3905952,192.168.82.72,222.29.98.225,TCP,59027,40002,341347718,3156777493,0,1,0,0,,64512,0,32,,0.000024100,,,,
29,2017-12-22 15:21:46.390597398,1513927306.3905973,192.168.82.72,222.29.98.225,TCP,59027,40002,341349076,3156777493,0,1,0,0,,67584,0,32,,0.000026017,,,,
30,2017-12-22 15:21:46.390617001,1513927306.390617,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341349076,0,1,0,0,,29056,1358,32,,,,,,1358
31,2017-12-22 15:21:46.390626605,1513927306.3906267,192.168.82.72,222.29.98.225,TCP,59027,40002,341350434,3156777493,0,1,0,0,,70656,0,32,,0.000009604,,,,
32,2017-12-22 15:21:46.413416884,1513927306.4134169,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341350434,0,1,0,0,,29056,1358,32,,,,,,1358
33,2017-12-22 15:21:46.413417394,1513927306.4134173,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341351792,0,1,0,0,,29056,1358,32,,,,,,2716
34,2017-12-22 15:21:46.413457362,1513927306.4134574,192.168.82.72,222.29.98.225,TCP,59027,40002,341351792,3156777493,0,1,0,0,,72704,0,32,,0.000040478,,,,
35,2017-12-22 15:21:46.413463224,1513927306.413463,192.168.82.72,222.29.98.225,TCP,59027,40002,341353150,3156777493,0,1,0,0,,75776,0,32,,0.000045830,,,,
36,2017-12-22 15:21:46.433417772,1513927306.4334178,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341353150,0,1,0,0,,29056,1358,32,,,,,,1358
37,2017-12-22 15:21:46.433418303,1513927306.4334183,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341354508,0,1,0,0,,29056,1358,32,,,,,,2716
38,2017-12-22 15:21:46.433452849,1513927306.4334528,192.168.82.72,222.29.98.225,TCP,59027,40002,341354508,3156777493,0,1,0,0,,78848,0,32,,0.000035077,,,,
39,2017-12-22 15:21:46.433463549,1513927306.4334636,192.168.82.72,222.29.98.225,TCP,59027,40002,341355866,3156777493,0,1,0,0,,81920,0,32,,0.000045246,,,,
40,2017-12-22 15:21:46.442412124,1513927306.4424121,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341355866,0,1,0,0,,29056,1358,32,,,,,,1358
41,2017-12-22 15:21:46.442412539,1513927306.4424126,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341357224,0,1,0,0,,29056,1358,32,,,,,,2716
42,2017-12-22 15:21:46.442446904,1513927306.442447,192.168.82.72,222.29.98.225,TCP,59027,40002,341357224,3156777493,0,1,0,0,,84992,0,32,,0.000034780,,,,
43,2017-12-22 15:21:46.442452239,1513927306.4424522,192.168.82.72,222.29.98.225,TCP,59027,40002,341358582,3156777493,0,1,0,0,,88064,0,32,,0.000039700,,,,
44,2017-12-22 15:21:46.447344745,1513927306.4473448,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341358582,0,1,0,0,,29056,1358,32,,,,,,1358
45,2017-12-22 15:21:46.447345245,1513927306.4473453,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341359940,0,1,0,0,,29056,1358,32,,,,,,2716
46,2017-12-22 15:21:46.447383550,1513927306.4473836,192.168.82.72,222.29.98.225,TCP,59027,40002,341359940,3156777493,0,1,0,0,,90112,0,32,,0.000038805,,,,
47,2017-12-22 15:21:46.447388881,1513927306.447389,192.168.82.72,222.29.98.225,TCP,59027,40002,341361298,3156777493,0,1,0,0,,93184,0,32,,0.000043636,,,,
48,2017-12-22 15:21:46.461326187,1513927306.4613261,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341361298,0,1,0,0,,29056,1358,32,,,,,,1358
49,2017-12-22 15:21:46.461360254,1513927306.4613602,192.168.82.72,222.29.98.225,TCP,59027,40002,341362656,3156777493,0,1,0,0,,96256,0,32,,0.000034067,,,,
50,2017-12-22 15:21:46.470451712,1513927306.4704516,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341362656,0,1,0,0,,29056,1358,32,,,,,,1358
51,2017-12-22 15:21:46.470492152,1513927306.4704921,192.168.82.72,222.29.98.225,TCP,59027,40002,341364014,3156777493,0,1,0,0,,99328,0,32,,0.000040440,,,,
52,2017-12-22 15:21:46.475324677,1513927306.4753246,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341364014,0,1,0,0,,29056,1358,32,,,,,,1358
53,2017-12-22 15:21:46.475356212,1513927306.475356,192.168.82.72,222.29.98.225,TCP,59027,40002,341365372,3156777493,0,1,0,0,,102400,0,32,,0.000031535,,,,
54,2017-12-22 15:21:46.484410086,1513927306.48441,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341365372,0,1,0,0,,29056,1358,32,,,,,,1358
55,2017-12-22 15:21:46.484527616,1513927306.4845276,192.168.82.72,222.29.98.225,TCP,59027,40002,341366730,3156777493,0,1,0,0,,105472,0,32,,0.000117530,,,,
